ST,CTY,NAICS,RCPTOT,ESTAB,Total_RCPTOT,Total_ESTAB,Year
17,55,2381,2475,51,410033,9180,2008
17,55,2382,1598,37,488447,10856,2008
17,55,23821,529,15,207942,5156,2008
17,55,23822,1062,20,243632,4899,2008
17,55,23829,0,0,23007,513,2008
17,55,2383,2958,94,1002502,27217,2008
17,55,2389,4784,90,814810,17245,2008
17,55,484,7174,83,2384304,27955,2008
17,55,4841,6827,79,2257333,26264,2008
17,55,48411,2044,28,658061,8879,2008
17,55,4842,347,4,118178,1580,2008
17,55,4853,0,0,406368,13552,2008
17,57,23,10456,286,5011777,98534,2008
17,57,236,4322,92,2153492,32338,2008
17,57,2361,3946,79,1992913,29421,2008
17,57,237,0,0,127943,1440,2008
17,57,2371,0,0,5381,103,2008
17,57,2372,0,0,70955,441,2008
17,57,23721,0,0,70955,441,2008
17,57,2373,0,0,10893,174,2008
17,57,23731,0,0,10893,174,2008
17,57,2379,0,0,25023,453,2008
17,57,23799,0,0,25023,453,2008
17,57,238,5893,187,2721723,64638,2008
17,57,2381,1676,36,410033,9180,2008
17,57,2382,806,23,488447,10856,2008
17,57,23821,324,14,207942,5156,2008
17,57,23822,0,0,243632,4899,2008
17,57,23829,0,0,23007,513,2008
17,57,2383,1191,58,1002502,27217,2008
17,57,2389,2220,70,814810,17245,2008
17,57,484,9708,105,2384304,27955,2008
17,57,4841,9644,103,2257333,26264,2008
17,57,48411,3171,42,658061,8879,2008
17,57,4842,0,0,118178,1580,2008
17,57,4853,0,0,406368,13552,2008
17,59,23,2322,51,5011777,98534,2008
17,59,236,1465,13,2153492,32338,2008
17,59,2361,1287,11,1992913,29421,2008
17,59,237,0,0,127943,1440,2008
17,59,2379,0,0,25023,453,2008
17,59,23799,0,0,25023,453,2008
17,59,238,572,35,2721723,64638,2008
17,59,2381,116,7,410033,9180,2008
17,59,2382,30,4,488447,10856,2008
17,59,23821,0,0,207942,5156,2008
17,59,23822,0,0,243632,4899,2008
17,59,2383,98,9,1002502,27217,2008
17,59,2389,328,15,814810,17245,2008
17,59,484,2138,19,2384304,27955,2008
17,59,4841,2095,17,2257333,26264,2008
17,59,48411,1531,10,658061,8879,2008
17,59,4842,0,0,118178,1580,2008
17,61,23,7782,177,5011777,98534,2008
17,61,236,1420,53,2153492,32338,2008
17,61,2361,1120,41,1992913,29421,2008
17,61,237,190,5,127943,1440,2008
17,61,2373,0,0,10893,174,2008
17,61,23731,0,0,10893,174,2008
17,61,2379,0,0,25023,453,2008
17,61,23799,0,0,25023,453,2008
17,61,238,6172,119,2721723,64638,2008
17,61,2381,3877,32,410033,9180,2008
17,61,2382,615,19,488447,10856,2008
17,61,23821,144,6,207942,5156,2008
17,61,23822,283,11,243632,4899,2008
17,61,23829,0,0,23007,513,2008
17,61,2383,659,26,1002502,27217,2008
17,61,2389,1021,42,814810,17245,2008
17,61,484,5602,60,2384304,27955,2008
17,61,4841,5348,56,2257333,26264,2008
17,61,48411,2373,20,658061,8879,2008
17,61,4842,254,4,118178,1580,2008
17,63,23,18795,411,5011777,98534,2008
17,63,236,5581,108,2153492,32338,2008
17,63,2361,4586,83,1992913,29421,2008
17,63,237,363,10,127943,1440,2008
17,63,2371,0,0,5381,103,2008
17,63,2373,0,0,10893,174,2008
17,63,23731,0,0,10893,174,2008
17,63,2379,328,8,25023,453,2008
17,63,23799,328,8,25023,453,2008
17,63,238,12851,293,2721723,64638,2008
17,63,2381,2228,51,410033,9180,2008
17,63,2382,1148,39,488447,10856,2008
17,63,23821,425,17,207942,5156,2008
17,63,23822,662,20,243632,4899,2008
17,63,23829,0,0,23007,513,2008
17,63,2383,2753,106,1002502,27217,2008
17,63,2389,6722,97,814810,17245,2008
17,63,484,10117,118,2384304,27955,2008
17,63,4841,9669,112,2257333,26264,2008
17,63,48411,4245,65,658061,8879,2008
17,63,4842,448,6,118178,1580,2008
17,63,4853,209,10,406368,13552,2008
