"ST","CTY","NAICS","Total_RCPTOT","Total_ESTAB","Year"
17,67,"23821",160414,3993,2004
17,67,"23822",200613,4014,2004
17,67,"23829",13532,298,2004
17,67,"2383",1076148,27985,2004
17,67,"2389",756419,16569,2004
17,67,"484",1472722,18906,2004
17,67,"4841",1672228,21229,2004
17,67,"48411",548274,7839,2004
17,67,"4842",97526,1393,2004
17,69,"23",5020463,96951,2004
17,69,"236",1868887,25572,2004
17,69,"2361",1708839,22752,2004
17,69,"237",137824,1222,2004
17,69,"2379",22994,294,2004
17,69,"23799",22994,294,2004
17,69,"238",2746549,64841,2004
17,69,"2381",482505,10300,2004
17,69,"2382",429541,9846,2004
17,69,"23821",160414,3993,2004
17,69,"23822",200613,4014,2004
17,69,"2383",1076148,27985,2004
17,69,"2389",756419,16569,2004
17,69,"484",1472722,18906,2004
17,69,"4841",1672228,21229,2004
17,69,"48411",548274,7839,2004
17,69,"4842",97526,1393,2004
17,71,"23",5020463,96951,2004
17,71,"236",1868887,25572,2004
17,71,"2361",1708839,22752,2004
17,71,"237",137824,1222,2004
17,71,"2373",4117,89,2004
17,71,"23731",4117,89,2004
17,71,"2379",22994,294,2004
17,71,"23799",22994,294,2004
17,71,"238",2746549,64841,2004
17,71,"2381",482505,10300,2004
17,71,"2382",429541,9846,2004
17,71,"23821",160414,3993,2004
17,71,"23822",200613,4014,2004
17,71,"23829",13532,298,2004
17,71,"2383",1076148,27985,2004
17,71,"2389",756419,16569,2004
17,71,"484",1472722,18906,2004
17,71,"4841",1672228,21229,2004
17,71,"48411",548274,7839,2004
17,71,"4842",97526,1393,2004
17,73,"23",5020463,96951,2004
17,73,"236",1868887,25572,2004
17,73,"2361",1708839,22752,2004
17,73,"237",137824,1222,2004
17,73,"2371",1572,48,2004
17,73,"2372",71492,375,2004
17,73,"23721",71492,375,2004
17,73,"2379",22994,294,2004
17,73,"23799",22994,294,2004
17,73,"238",2746549,64841,2004
17,73,"2381",482505,10300,2004
17,73,"2382",429541,9846,2004
17,73,"23821",160414,3993,2004
17,73,"23822",200613,4014,2004
17,73,"23829",13532,298,2004
17,73,"2383",1076148,27985,2004
17,73,"2389",756419,16569,2004
17,73,"484",1472722,18906,2004
17,73,"4841",1672228,21229,2004
17,73,"48411",548274,7839,2004
17,73,"4842",97526,1393,2004
17,75,"23",5020463,96951,2004
17,75,"236",1868887,25572,2004
17,75,"2361",1708839,22752,2004
17,75,"237",137824,1222,2004
17,75,"2372",71492,375,2004
17,75,"23721",71492,375,2004
17,75,"2373",4117,89,2004
17,75,"23731",4117,89,2004
17,75,"2379",22994,294,2004
17,75,"23799",22994,294,2004
17,75,"238",2746549,64841,2004
17,75,"2381",482505,10300,2004
17,75,"2382",429541,9846,2004
17,75,"23821",160414,3993,2004
17,75,"23822",200613,4014,2004
17,75,"23829",13532,298,2004
17,75,"2383",1076148,27985,2004
17,75,"2389",756419,16569,2004
17,75,"484",1472722,18906,2004
17,75,"4841",1672228,21229,2004
17,75,"48411",548274,7839,2004
17,75,"4842",97526,1393,2004
17,75,"4853",294644,11060,2004
17,77,"23",5020463,96951,2004
17,77,"236",1868887,25572,2004
17,77,"2361",1708839,22752,2004
17,77,"237",137824,1222,2004
17,77,"2372",71492,375,2004
17,77,"23721",71492,375,2004
17,77,"2373",4117,89,2004
17,77,"23731",4117,89,2004
17,77,"2379",22994,294,2004
17,77,"23799",22994,294,2004
17,77,"238",2746549,64841,2004
17,77,"2381",482505,10300,2004
17,77,"2382",429541,9846,2004
17,77,"23821",160414,3993,2004
17,77,"23822",200613,4014,2004
17,77,"23829",13532,298,2004
17,77,"2383",1076148,27985,2004
17,77,"2389",756419,16569,2004
17,77,"484",1472722,18906,2004
17,77,"4841",1672228,21229,2004
17,77,"48411",548274,7839,2004
17,77,"4842",97526,1393,2004
17,77,"4853",294644,11060,2004
17,79,"23",5020463,96951,2004
17,79,"236",1868887,25572,2004
17,79,"2361",1708839,22752,2004
