"ST","NAICS","Total_RCPTOT","Total_ESTAB","Year"
17,"2379",27081,391,2010
17,"23799",27081,391,2010
17,"238",2351735,61403,2010
17,"2381",363451,8687,2010
17,"2382",454755,10899,2010
17,"23821",174685,4942,2010
17,"23822",241120,5133,2010
17,"23829",23372,493,2010
17,"2383",814009,25080,2010
17,"2389",713531,16572,2010
17,"484",2324274,29705,2010
17,"4841",2219631,28060,2010
17,"48411",589708,8594,2010
17,"4842",93293,1481,2010
17,"4853",414265,13904,2010
17,"2371",3078,86,2010
30,"23",586908,12365,2010
30,"236",246522,4027,2010
30,"2361",216604,3621,2010
30,"237",23235,297,2010
30,"2372",11405,59,2010
30,"23721",11405,59,2010
30,"2373",509,16,2010
30,"23731",509,16,2010
30,"2379",4673,97,2010
30,"23799",4673,97,2010
30,"238",311593,7952,2010
30,"2381",53880,1223,2010
30,"2382",37033,808,2010
30,"23821",11780,325,2010
30,"23822",17644,326,2010
30,"23829",1952,39,2010
30,"2383",98027,2865,2010
30,"2389",117250,2904,2010
30,"484",176916,1742,2010
30,"4841",161919,1540,2010
30,"48411",34500,451,2010
30,"4842",11672,145,2010
30,"4853",0,0,2010
30,"2371",654,15,2010
39,"23",4079880,90223,2010
39,"236",1260911,21409,2010
39,"2361",1082956,18447,2010
39,"237",131342,1522,2010
39,"2371",4853,123,2010
39,"2373",6586,111,2010
39,"23731",6586,111,2010
39,"2379",25728,434,2010
39,"23799",25728,434,2010
39,"238",2682224,67218,2010
39,"2381",533072,12276,2010
39,"2382",412138,9764,2010
39,"23821",138690,4190,2010
39,"23822",240742,4817,2010
39,"23829",22686,484,2010
39,"2383",873240,25926,2010
39,"2389",863436,19240,2010
39,"484",1750241,20590,2010
39,"4841",1622999,18661,2010
39,"48411",439564,6167,2010
39,"4842",122088,1853,2010
39,"4853",51913,2475,2010
39,"2372",68826,449,2010
39,"23721",68826,449,2010
42,"23",5065440,94305,2010
42,"236",1602334,22356,2010
42,"2361",1430321,19861,2010
42,"237",140892,1350,2010
42,"2371",2575,66,2010
42,"2372",78649,407,2010
42,"23721",78649,407,2010
42,"2373",7741,110,2010
42,"23731",7741,110,2010
42,"2379",28900,416,2010
42,"23799",28900,416,2010
42,"238",3319006,70559,2010
42,"2381",529708,10131,2010
42,"2382",626392,12198,2010
42,"23821",239317,5799,2010
